GEOID,2024 Senior Population
471890302.07,458
471890303.03,1039
471890303.04,1217
471890303.05,1269
471890303.08,516
471890303.09,1310
471890303.1,966
471890303.11,768
471890304.01,503
471890304.02,727
471890305.0,1524
471890306.0,909
471890307.0,628
471890308.0,1260
471890309.04,804
471890309.05,992
471890309.06,1215
471890309.07,2533
471890309.08,986
471890310.0,1128
